Location;Year;Kilometers_Driven;Fuel_Type;Transmission;Owner_Type;Mileage;Seats;Price_in_Euro;Brand;Model;Engine_numeric;Power_numeric;is_Sold_new
Mumbai;2018;13000;Diesel;0;First;22.1;5;11550.0;Hyundai;Creta 1.4 E Plus Diesel;1396.0;88.7;1
Mumbai;2008;73000;Petrol;1;First;8.5;5;15949.999999999998;Porsche;Cayenne 2009-2014 Turbo;4806.0;500.0;0
Mumbai;2015;55729;Diesel;0;First;15.1;7;10615.0;Mahindra;XUV500 W8 4WD;2179.0;140.0;0
Kochi;2012;45178;Petrol;1;First;16.95;5;3828.0;Hyundai;i10 Sportz 1.2 AT;1197.0;78.9;0
Kochi;2015;56066;Diesel;0;First;19.64;5;7612.0;Nissan;Terrano XV D Pre;1461.0;108.5;1
Coimbatore;2016;37300;Petrol;1;Second;16.5;5;7106.0;Honda;Brio VX AT;1198.0;86.8;0
Delhi;2014;56000;Diesel;1;Second;18.53;5;32450.0;Audi;A6 2.0 TDI Design Edition;1968.0;187.74;0
Jaipur;2008;111111;Diesel;0;First;17.8;5;2200.0;Ford;Fiesta 1.4 SXi TDCi;1399.0;98.6;0
Chennai;2006;230000;Petrol;0;Third;12.4;8;4950.0;Toyota;Innova 2.0 G1;1998.0;132.0;0
Hyderabad;2012;104000;Diesel;0;First;12.8;7;12925.0;Toyota;Innova 2.5 VX 7 STR BSIV;2494.0;102.0;0
Hyderabad;2005;87591;Petrol;0;First;0.0;5;1430.0;Hyundai;Santro Xing XL;1086.0;98.6;0
Jaipur;2012;95100;Diesel;0;First;22.9;5;4125.0;Maruti;Swift VDI;1248.0;98.6;0
Pune;2017;70000;Petrol;0;First;17.57;5;4950.0;Tata;Zest Revotron 1.2T XE;1193.0;88.7;1
Kochi;2016;54944;Petrol;0;First;18.0;5;5302.0;Honda;Amaze SX i-VTEC;1198.0;86.7;0
Hyderabad;2012;70337;Diesel;0;First;20.0;5;3080.0;Ford;Figo Diesel ZXI;1399.0;98.6;0
Jaipur;2013;99638;Diesel;0;First;23.2;5;3421.0;Maruti;Ritz VDi;1248.0;73.94;0
Delhi;2009;52000;Petrol;0;First;17.8;5;3575.0;Honda;City i VTEC E;1497.0;117.3;0
Delhi;2011;75000;Diesel;1;Second;16.73;5;15290.0;BMW;5 Series 2003-2012 525d;1995.0;218.0;0
Pune;2009;95980;Petrol;0;First;20.36;5;2475.0;Hyundai;i10 Sportz 1.2;1197.0;78.9;0
Bangalore;2016;16000;Petrol;0;First;18.9;5;6325.0;Hyundai;Grand i10 Sportz;1197.0;98.6;0
Hyderabad;2007;73745;Petrol;0;First;17.0;5;2310.0;Hyundai;Santro Xing XO;1086.0;98.6;0
Mumbai;2016;18949;Petrol;0;First;17.8;5;5500.0;Honda;Amaze SX i-VTEC;1198.0;86.7;0
Delhi;2014;107000;Diesel;0;First;13.0;7;18150.0;Toyota;Fortuner 4x2 Manual;2982.0;168.5;0
Coimbatore;2018;48367;Diesel;1;First;17.68;5;43538.0;Audi;A6 2011-2015 35 TDI Premium;1968.0;174.33;0
Delhi;2013;57000;Diesel;0;First;22.7;5;6050.0;Ford;Ecosport 1.5 DV5 MT Titanium Optional;1498.0;89.84;0
Delhi;2014;58000;Diesel;0;First;15.1;7;8910.0;Mahindra;XUV500 W8 2WD;2179.0;140.0;0
Kolkata;2015;30000;Diesel;0;First;25.8;5;3850.0;Honda;Amaze SX i-DTEC;1498.0;98.6;0
Kolkata;2013;34212;Diesel;0;First;22.07;5;3069.0;Volkswagen;Polo Diesel Highline 1.2L;1199.0;73.9;0
Ahmedabad;2010;70002;Diesel;0;First;16.2;5;3795.0;Hyundai;Verna Transform SX VGT CRDi;1493.0;110.0;0
Bangalore;2016;62000;Petrol;0;First;18.9;5;4895.0;Maruti;Wagon R VXI BS IV;998.0;67.1;0
Delhi;2010;62001;Petrol;0;First;15.26;5;2915.0;Volkswagen;Polo Petrol Highline 1.6L;1598.0;103.5;0
Pune;2011;78958;Diesel;0;Second;23.0;5;4180.0;Hyundai;i20 1.4 CRDi Sportz;1396.0;98.6;0
Mumbai;2014;30180;Petrol;0;First;18.5;5;5115.0;Hyundai;i20 Asta 1.2;1197.0;82.85;0
Pune;2017;32851;Petrol;0;First;19.83;7;4345.0;Datsun;GO Plus T Petrol;1198.0;98.6;1
Kolkata;2010;30000;Diesel;1;First;14.94;5;10780.0;Audi;A4 3.0 TDI Quattro Premium;2967.0;241.4;0
Pune;2009;66000;Petrol;0;Second;17.0;5;2970.0;Hyundai;i20 2015-2017 Asta;1197.0;98.6;0
Coimbatore;2010;93850;Petrol;0;First;14.0;5;2651.0;Maruti;Omni 5 Str STD;796.0;98.6;0
Ahmedabad;2014;53000;Petrol;0;First;17.71;5;4290.0;Toyota;Etios Liva 1.2 G;1197.0;78.9;1
Hyderabad;2011;78000;Diesel;1;Second;14.74;5;26400.0;Jaguar;XF 3.0 Litre S Premium Luxury;2993.0;270.9;0
Delhi;2012;65000;Diesel;0;Second;16.0;7;6325.0;Mahindra;XUV500 W8 2WD;2179.0;140.0;0
Kolkata;2014;40000;Diesel;1;First;22.32;5;5775.0;Hyundai;Verna 1.6 SX CRDI (O) AT;1582.0;126.32;0
Mumbai;2017;30000;Diesel;1;First;11.36;7;21175.0;Toyota;Innova Crysta 2.8 ZX AT;2755.0;171.5;1
Coimbatore;2017;38053;Petrol;0;First;15.1;5;4301.0;Maruti;Eeco 5 Seater AC;1196.0;98.6;1
Bangalore;2014;25500;Petrol;0;First;25.4;4;2365.0;Tata;Nano Twist XT;624.0;37.5;0
Mumbai;2015;56087;Diesel;1;First;22.69;5;22825.0;BMW;3 Series 320d Luxury Line;1995.0;190.0;1
Delhi;2010;71088;Petrol;0;First;13.5;5;3685.0;Honda;Civic 2006-2010 1.8 V MT;1799.0;130.0;0
Ahmedabad;2014;55000;Diesel;0;First;12.99;7;12221.0;Toyota;Innova 2.5 VX (Diesel) 7 Seater;2494.0;100.6;0
Bangalore;2014;32700;Diesel;1;First;23.3;5;22000.0;Volvo;V40 Cross Country D3;1984.0;150.0;0
Coimbatore;2016;39882;Petrol;1;First;19.15;5;7205.0;Nissan;Micra XV CVT;1198.0;75.94;1
Mumbai;2009;128000;Petrol;1;First;10.8;5;7700.0;BMW;5 Series 2010-2013 525i;2497.0;215.0;0
Mumbai;2016;55000;Diesel;0;First;24.3;5;8250.0;Maruti;Vitara Brezza VDi;1248.0;88.5;1
Mumbai;2005;102000;Petrol;0;Second;17.0;5;935.0;Hyundai;Santro Xing XL eRLX Euro III;1086.0;98.6;0
Pune;2014;53753;Diesel;1;Second;15.0;5;18425.0;Mercedes-Benz;B Class B200 CDI;2143.0;107.3;0
Kolkata;2018;10250;Diesel;0;First;22.0;5;12045.0;Hyundai;Verna CRDi 1.6 SX Option;1582.0;126.2;1
Pune;2011;43874;Petrol;0;First;18.9;5;2695.0;Maruti;Wagon R LXI BS IV;998.0;67.1;0
Coimbatore;2017;32684;Petrol;1;First;21.9;4;3553.0;Tata;Nano XTA;624.0;37.48;0
Kolkata;2014;42000;Diesel;0;First;12.05;8;8525.0;Mahindra;Scorpio VLX;2179.0;120.0;0
Kolkata;2009;28352;Petrol;1;First;11.7;5;10285.0;Mercedes-Benz;New C-Class 200 K AT;1796.0;178.0;0
Pune;2013;89900;CNG;0;First;37.24;5;3575.0;Maruti;Wagon R LXI CNG;998.0;58.16;0
Bangalore;2007;47700;Petrol;0;Second;10.8;5;5775.0;Honda;CR-V 2.4 MT;2354.0;152.0;0
Pune;2015;55000;Diesel;1;First;21.21;5;7974.999999999999;Volkswagen;Vento 1.5 TDI Comfortline AT;1498.0;103.2;0
Kochi;2017;44285;Petrol;0;First;20.73;5;8217.0;Maruti;Ciaz VXi Plus;1373.0;91.1;0
Jaipur;2016;54000;Diesel;1;First;16.0;7;14575.0;Mahindra;XUV500 AT W10 FWD;2179.0;140.0;0
Coimbatore;2016;30232;Petrol;0;First;21.1;5;6391.0;Maruti;Ritz VXI ABS;1197.0;85.8;0
Hyderabad;2014;88500;Petrol;0;First;24.07;5;2860.0;Maruti;Alto K10 VXI;998.0;67.1;1
Kolkata;2017;13372;Petrol;1;First;19.0;2;59400.0;Mercedes-Benz;SLC 43 AMG;2996.0;362.07;1
Kochi;2019;12645;Petrol;1;First;17.0;5;12650.0;Hyundai;Verna VTVT 1.6 AT SX Plus;1591.0;121.3;1
Chennai;2010;94385;Petrol;0;Second;19.7;5;1760.0;Maruti;Alto LXi BSIII;796.0;46.3;0
Coimbatore;2015;31821;Diesel;1;First;20.58;5;18942.0;BMW;1 Series 118d Base;1995.0;143.0;0
Mumbai;2015;12000;Petrol;1;First;19.0;5;6600.0;Honda;Jazz 1.2 V CVT i VTEC;1199.0;88.7;0
Delhi;2012;88578;Petrol;0;First;13.5;5;4345.0;Honda;Civic 2006-2010 1.8 V MT;1799.0;130.0;0
Kochi;2014;44965;Diesel;1;First;19.27;5;19745.0;Mercedes-Benz;New C-Class C 220 CDI Avantgarde;2143.0;170.0;0
Kolkata;2014;45044;Diesel;0;First;25.8;5;4070.0;Honda;Amaze SX i-DTEC;1498.0;98.6;0
Kochi;2016;34204;Petrol;0;First;22.0;5;5973.0;Maruti;Swift VVT VXI;1197.0;81.8;0
Kochi;2008;80759;Petrol;0;Third;17.0;5;1837.0;Hyundai;Santro Xing XO eRLX Euro II;1086.0;98.6;0
Coimbatore;2012;91235;Diesel;0;First;11.5;7;14839.0;Toyota;Fortuner 3.0 Diesel;2982.0;171.0;0
Pune;2014;38800;Petrol;0;First;18.6;5;3135.0;Chevrolet;Beat LT Option;1199.0;76.8;0
Chennai;2013;83000;Diesel;0;First;21.14;5;5225.0;Skoda;Rapid 1.5 TDI Elegance;1498.0;103.52;0
Kochi;2018;41283;Petrol;0;First;20.73;5;10890.0;Maruti;Ciaz 1.4 Alpha;1373.0;91.1;0
Mumbai;2013;23000;Petrol;1;First;11.05;4;40700.0;Audi;RS5 Coupe;2894.0;444.0;1
Mumbai;2014;48000;Diesel;1;First;21.76;5;29150.0;BMW;3 Series Luxury Line;1995.0;190.0;1
Coimbatore;2015;48214;Diesel;1;First;17.11;5;25652.0;Audi;A4 2.0 TDI 177 Bhp Premium Plus;1968.0;174.33;0
Chennai;2016;35000;Diesel;0;First;22.9;5;6875.0;Maruti;Swift VDI;1248.0;98.6;0
Kolkata;2010;35277;Petrol;1;First;7.81;5;33000.0;Mercedes-Benz;S Class 2005 2013 S 500;5461.0;362.9;0
Coimbatore;2016;54620;Diesel;1;First;21.66;5;10846.0;Skoda;Rapid 1.5 TDI AT Elegance Plus Black Package;1498.0;103.52;0
Pune;2012;136997;Diesel;1;First;17.2;5;9350.0;Skoda;Superb Elegance 2.0 TDI CR AT;1968.0;138.1;0
Kochi;2019;14322;Petrol;0;First;21.1;5;4653.0;Hyundai;EON Magna Plus;814.0;55.2;0
Jaipur;2012;65634;Diesel;0;First;22.07;5;3850.0;Volkswagen;Polo Diesel Trendline 1.2L;1199.0;73.9;0
Kolkata;2016;6000;Petrol;0;First;20.63;5;2750.0;Datsun;GO NXT;1198.0;67.06;0
Kolkata;2013;33280;Petrol;0;First;19.4;5;2629.0;Honda;Brio S MT;1198.0;86.8;0
Delhi;2013;29000;Petrol;1;First;14.8;5;12375.0;Mercedes-Benz;B Class B180;1595.0;120.7;0
Kochi;2015;42831;Diesel;0;First;26.0;5;7821.0;Honda;City i DTEC V;1498.0;98.6;0
Ahmedabad;2016;90000;Diesel;0;First;12.99;7;11990.0;Toyota;Innova 2.5 G (Diesel) 7 Seater;2494.0;100.6;0
Ahmedabad;2017;24005;Petrol;0;First;20.4;5;6820.0;Maruti;Swift VXI Optional;1197.0;81.8;0
Mumbai;2012;32792;Diesel;0;First;15.1;7;8690.0;Mahindra;XUV500 W8 2WD;2179.0;140.0;0
Kochi;2014;147898;Diesel;0;First;22.7;5;4862.0;Ford;Ecosport 1.5 DV5 MT Ambiente;1498.0;89.84;0
Mumbai;2012;131765;Diesel;0;First;13.0;7;14850.0;Toyota;Fortuner 4x2 Manual;2982.0;168.5;0
Chennai;2013;65000;Diesel;1;First;21.5;5;6875.0;Volkswagen;Vento 1.5 Highline Plus AT 16 Alloy;1498.0;108.5;0
Jaipur;2010;66123;Diesel;0;Second;20.0;5;2310.0;Ford;Figo Diesel Titanium;1399.0;98.6;0
Mumbai;2015;41000;Diesel;1;First;15.3;5;49500.0;BMW;X5 xDrive 30d;2993.0;258.0;0
Coimbatore;2017;23550;Diesel;1;First;19.27;5;37025.99999999999;Mercedes-Benz;New C-Class C 220 CDI Style;2143.0;167.62;0
Bangalore;2012;45000;Petrol;0;Second;19.4;5;4015.0;Honda;Brio V MT;1198.0;86.8;0
Delhi;2013;60000;Petrol;0;First;20.36;5;3025.0;Hyundai;i10 Magna 1.2;1197.0;78.9;0
Bangalore;2016;44414;Diesel;1;First;17.9;5;46750.0;Mercedes-Benz;GLC 220;2143.0;170.0;0
Kolkata;2019;1000;Petrol;0;First;18.9;5;7150.0;Hyundai;Grand i10 1.2 Kappa Asta;1197.0;81.86;1
Mumbai;2012;62500;Diesel;1;Second;17.68;5;20900.0;Audi;A6 2011-2015 2.0 TDI Premium Plus;1968.0;174.33;0
Mumbai;2013;21000;Petrol;1;Second;14.4;5;4895.0;Volkswagen;Vento Petrol Highline AT;1598.0;103.6;0
Jaipur;2017;8525;Diesel;1;Second;16.6;5;25300.0;Mini_Cooper;Countryman D D;1998.0;112.0;0
Bangalore;2014;29000;Diesel;0;First;22.54;5;9185.0;Hyundai;i20 Asta 1.4 CRDi;1396.0;88.73;0
Mumbai;2014;40000;Diesel;1;First;17.68;5;25245.0;Audi;A6 2011-2015 2.0 TDI Premium Plus;1968.0;174.33;0
Jaipur;2012;88000;Diesel;0;First;25.44;5;1650.0;Chevrolet;Beat Diesel LT;936.0;57.6;0
Kochi;2012;53537;Petrol;1;First;13.7;5;7579.0;Skoda;Superb Elegance 1.8 TSI AT;1798.0;157.75;0
Chennai;2006;216000;Diesel;0;Second;17.8;5;1595.0;Ford;Fiesta 1.4 TDCi EXI Limited Edition;1399.0;98.6;0
Hyderabad;2014;51000;Diesel;1;First;22.48;5;36850.0;BMW;5 Series 520d Luxury Line;1995.0;190.0;1
Jaipur;2007;118500;Petrol;0;First;12.9;5;1375.0;Chevrolet;Optra Magnum 1.6 LS BS3;1598.0;102.5;0
Hyderabad;2012;63000;Diesel;0;First;22.07;5;4620.0;Volkswagen;Polo Diesel Highline 1.2L;1199.0;73.9;0
Mumbai;2015;25000;Diesel;0;First;19.98;8;7425.0;Renault;Lodgy 110PS RxZ 8 Seater;1461.0;108.5;0
Bangalore;2014;37382;Diesel;1;First;13.0;5;35200.0;Mercedes-Benz;E-Class E250 CDI Avantgrade;2143.0;201.1;0
Kochi;2017;24773;Petrol;0;First;21.4;5;8250.0;Maruti;Baleno Alpha;1197.0;83.1;1
Delhi;2012;62000;Diesel;0;First;22.32;5;5059.999999999999;Hyundai;Verna 1.6 SX;1582.0;126.32;0
Kochi;2017;52340;Petrol;0;First;19.81;5;4444.0;Hyundai;i10 Magna 1.1;1086.0;68.05;0
Kochi;2016;56739;Diesel;0;First;15.4;7;11341.0;Mahindra;Scorpio 1.99 S10 4WD;1997.0;120.0;0
Coimbatore;2018;36091;Diesel;1;First;12.7;5;61336.0;Land_Rover;Range Rover 2.2L Dynamic;2179.0;187.7;0
Chennai;2010;120000;Diesel;0;First;20.0;5;2860.0;Ford;Figo Diesel ZXI;1399.0;98.6;0
Mumbai;2016;33000;Diesel;0;First;25.47;7;9350.0;Maruti;Ertiga ZDI;1248.0;88.5;1
Kolkata;2014;52000;Diesel;0;First;25.8;5;3850.0;Honda;Amaze S i-Dtech;1498.0;98.6;0
Jaipur;2015;43571;Petrol;0;First;20.36;5;3905.0;Hyundai;i10 Magna;1197.0;78.9;0
Kolkata;2013;50000;Diesel;0;First;25.8;5;3575.0;Honda;Amaze S i-Dtech;1498.0;98.6;0
Hyderabad;2008;113000;Diesel;0;First;17.5;5;4950.0;Skoda;Laura Ambiente;1896.0;106.0;0
Delhi;2014;90000;Diesel;0;First;19.87;5;5885.0;Renault;Duster 85PS Diesel RxL;1461.0;83.8;0
Chennai;2017;29000;Diesel;0;Second;17.45;7;7150.0;Mahindra;NuvoSport N6;1493.0;100.0;1
Mumbai;2016;20000;Diesel;0;First;24.3;5;9900.0;Maruti;Vitara Brezza ZDi Plus Dual Tone;1248.0;88.5;1
Kochi;2016;61012;Petrol;0;First;18.6;5;6600.0;Hyundai;i20 Asta Option 1.2;1197.0;81.83;0
Jaipur;2009;87459;Petrol;0;First;14.7;5;3025.0;Skoda;Fabia 1.4 MPI Ambiente;1390.0;98.6;0
Pune;2010;70500;Petrol;0;First;15.64;5;1650.0;Tata;Indigo eCS GLX;1193.0;64.1;0
Delhi;2015;64103;Diesel;1;First;15.73;5;21890.0;Audi;Q3 2012-2015 35 TDI Quattro Premium Plus;1968.0;174.33;0
Mumbai;2014;76000;Petrol;1;First;14.7;5;11000.0;Skoda;Octavia Elegance 1.8 TSI AT;1798.0;177.5;0
Delhi;2014;104000;Diesel;0;First;23.59;5;3300.0;Toyota;Etios Liva GD SP;1364.0;67.06;0
Kochi;2014;37245;Petrol;1;First;14.8;5;13156.0;Mercedes-Benz;B Class B180;1595.0;120.7;0
Kolkata;2013;45000;Diesel;0;First;27.4;5;3575.0;Honda;Amaze S Diesel;1498.0;98.6;1
Jaipur;2012;117837;Diesel;0;Second;22.32;5;5225.0;Hyundai;Verna 1.6 SX;1582.0;126.32;0
Mumbai;2014;30000;Diesel;0;First;20.46;5;6545.0;Renault;Duster 85PS Diesel RxL Optional;1461.0;83.8;0
Delhi;2015;27057;Petrol;0;Second;15.29;5;8965.0;Hyundai;Creta 1.6 VTVT S;1591.0;121.3;0
Mumbai;2016;8500;Petrol;1;First;20.51;5;4642.0;Maruti;Wagon R AMT VXI;998.0;98.6;0
Kolkata;2010;30500;Petrol;1;First;11.74;5;11550.0;Mercedes-Benz;New C-Class C250 Avantgarde;1796.0;186.0;0
Delhi;2012;56000;Diesel;1;First;11.8;5;49500.0;Audi;A8 L 3.0 TDI quattro;2967.0;246.7;0
Pune;2012;44000;Petrol;0;Second;19.81;5;3190.0;Hyundai;i10 Magna 1.1;1086.0;68.05;0
Mumbai;2017;10500;Petrol;1;First;14.3;5;9790.0;Skoda;Rapid 1.6 MPI AT Style Black Package;1598.0;103.52;0
Hyderabad;2017;26000;Petrol;1;First;14.67;5;28600.0;Skoda;Superb Style 1.8 TSI AT;1798.0;177.46;1
Coimbatore;2018;25166;Petrol;0;First;17.19;5;9042.0;Hyundai;i20 Active 1.2 SX;1197.0;81.86;0
Kolkata;2014;64000;Diesel;0;Second;25.8;5;3850.0;Honda;Amaze VX i-DTEC;1498.0;98.6;0
Chennai;2004;61000;Petrol;0;Second;18.9;5;1375.0;Maruti;Wagon R LXI;998.0;67.1;0
Hyderabad;2013;107000;Diesel;0;First;21.03;5;4070.0;Mahindra;Verito 1.5 D4 BSIV;1461.0;98.6;1
